Timestamp,Value,perokok
2021-12-28T21:46:56.374+07:00,0.25879207,1
2021-12-28T21:46:56.427+07:00,0.25332928,1
2021-12-28T21:46:56.471+07:00,0.24080348,1
2021-12-28T21:46:56.528+07:00,0.22547008,1
2021-12-28T21:46:56.574+07:00,0.20984362,1
2021-12-28T21:46:56.630+07:00,0.2038357,1
2021-12-28T21:46:56.675+07:00,0.2020128,1
2021-12-28T21:46:56.738+07:00,0.20589304,1
2021-12-28T21:46:56.773+07:00,0.2074932,1
2021-12-28T21:46:56.830+07:00,0.20833725,1
2021-12-28T21:46:56.872+07:00,0.20735839,1
2021-12-28T21:46:56.924+07:00,0.20243482,1
2021-12-28T21:46:56.972+07:00,0.20202452,1
2021-12-28T21:46:57.029+07:00,0.20651434,1
2021-12-28T21:46:57.074+07:00,0.19874215,1
2021-12-28T21:46:57.128+07:00,0.1953015,1
2021-12-28T21:46:57.186+07:00,0.18798064,1
2021-12-28T21:46:57.225+07:00,0.17160977,1
2021-12-28T21:46:57.273+07:00,0.16158094,1
2021-12-28T21:46:57.331+07:00,0.15769483,1
2021-12-28T21:46:57.373+07:00,0.15176897,1
2021-12-28T21:46:57.428+07:00,0.14628857,1
2021-12-28T21:46:57.471+07:00,0.15690355,1
2021-12-28T21:46:57.531+07:00,0.15252508,1
2021-12-28T21:46:57.570+07:00,0.15299399,1
2021-12-28T21:46:57.631+07:00,0.15356255,1
2021-12-28T21:46:57.672+07:00,0.15445934,1
2021-12-28T21:46:57.736+07:00,0.14736706,1
2021-12-28T21:46:57.770+07:00,0.133077,1
2021-12-28T21:46:57.829+07:00,0.11776704,1
2021-12-28T21:46:57.870+07:00,0.19657929,1
2021-12-28T21:46:57.928+07:00,0.26896745,1
2021-12-28T21:46:57.970+07:00,0.34923333,1
2021-12-28T21:46:58.029+07:00,0.41923004,1
2021-12-28T21:46:58.072+07:00,0.3963765,1
2021-12-28T21:46:58.117+07:00,0.39120674,1
2021-12-28T21:46:58.157+07:00,0.38464198,1
2021-12-28T21:46:58.202+07:00,0.38395035,1
2021-12-28T21:46:58.259+07:00,0.3768815,1
2021-12-28T21:46:58.303+07:00,0.3721338,1
2021-12-28T21:46:58.359+07:00,0.3653287,1
2021-12-28T21:46:58.406+07:00,0.35382867,1
2021-12-28T21:46:58.460+07:00,0.34327817,1
2021-12-28T21:46:58.503+07:00,0.32912877,1
