"timestamp","values"
"2021-12-22T10:35:30.937+07:00","0.91519845"
"2021-12-22T10:35:30.974+07:00","0.9068286"
"2021-12-22T10:35:31.031+07:00","0.8816196"
"2021-12-22T10:35:31.074+07:00","0.840434"
"2021-12-22T10:35:31.143+07:00","0.74615103"
"2021-12-22T10:35:31.202+07:00","0.6387949"
"2021-12-22T10:35:31.245+07:00","0.5671412"
"2021-12-22T10:35:31.298+07:00","0.557021"
"2021-12-22T10:35:31.343+07:00","0.6178496"
"2021-12-22T10:35:31.400+07:00","0.7252223"
"2021-12-22T10:35:31.441+07:00","0.82453215"
"2021-12-22T10:35:31.505+07:00","0.8770904"
"2021-12-22T10:35:31.560+07:00","0.91189694"
"2021-12-22T10:35:31.600+07:00","0.9099393"
"2021-12-22T10:35:31.646+07:00","0.8906613"
"2021-12-22T10:35:31.699+07:00","0.8500564"
"2021-12-22T10:35:31.742+07:00","0.7823512"
"2021-12-22T10:35:31.802+07:00","0.66455966"
"2021-12-22T10:35:31.844+07:00","0.5612433"
"2021-12-22T10:35:31.905+07:00","0.5127248"
"2021-12-22T10:35:31.949+07:00","0.53502226"
"2021-12-22T10:35:32.001+07:00","0.62520736"
"2021-12-22T10:35:32.044+07:00","0.7174995"
"2021-12-22T10:35:32.102+07:00","0.8080579"
"2021-12-22T10:35:32.155+07:00","0.8545939"
"2021-12-22T10:35:32.203+07:00","0.8829551"
"2021-12-22T10:35:32.246+07:00","0.8938632"
"2021-12-22T10:35:32.305+07:00","0.8697575"
"2021-12-22T10:35:32.348+07:00","0.82586765"
"2021-12-22T10:35:32.403+07:00","0.7180221"
"2021-12-22T10:35:32.447+07:00","0.579924"
"2021-12-22T10:35:32.502+07:00","0.4738453"
"2021-12-22T10:35:32.546+07:00","0.44710997"
"2021-12-22T10:35:32.600+07:00","0.51158005"
"2021-12-22T10:35:32.637+07:00","0.6232165"
"2021-12-22T10:35:32.702+07:00","0.7417214"
"2021-12-22T10:35:32.745+07:00","0.8174149"
"2021-12-22T10:35:32.804+07:00","0.8651121"
"2021-12-22T10:35:32.839+07:00","0.8964513"
"2021-12-22T10:35:32.905+07:00","0.89536464"
"2021-12-22T10:35:32.950+07:00","0.8559958"
"2021-12-22T10:35:33.001+07:00","0.79218924"
"2021-12-22T10:35:33.046+07:00","0.65999734"
"2021-12-22T10:35:33.101+07:00","0.50314385"
"2021-12-22T10:35:33.148+07:00","0.40385893"
"2021-12-22T10:35:33.190+07:00","0.36909384"
